Question,Answer,OutputAnswers,chapter,question_number
"A metal alloy has been tested in a tensile test with the following results for the flow curve parameters: strength coefficient = 620.5 MPa and strain-hardening exponent = 0.26. The same metal is now tested in a compression test in which the starting height of the specimen = 62.5 mm and its diameter = 25 mm. Assuming that the cross section increases uniformly, determine the load required to compress the specimen to a height of (a) 50 mm ","Solution: Starting volume of test specimen V = pi*hDo^ 2/4 = 62.5pi(25)^2/4 = 30679.6 mm3. (a) At h = 50 mm, H = ln(62.5/50) = ln(1.25) = 0.223 Yf = 620.5(.223)^.26 = 420.1 MPa A = V/L = 30679.6/50 = 613.6 mm2 F = 420.1(613.6) = 257,770 N  ","To solve this problem, we will use the plastic flow curve expressed by the equation:

\[ \sigma = K \varepsilon^n \]

where \(\sigma\) is the true stress, \(K\) is the strength coefficient (620.5 MPa), \(\varepsilon\) is the true strain, and \(n\) is the strain-hardening exponent (0.26).

First, calculate the true strain based on the change in height:

The initial height \(h_0\) is 62.5 mm, and the final height \(h_f\) is 50 mm. The true strain \(\varepsilon\) in compression is given by:

\[ \varepsilon = \ln \left( \frac{h_0}{h_f} \right) \]

Substitute the values:

\[ \varepsilon = \ln \left( \frac{62.5}{50} \right) \]

\[ \varepsilon \approx \ln (1.25) \]

\[ \varepsilon \approx 0.2231 \]

Calculate the true stress using the flow curve equation:

\[ \sigma = 620.5 \times (0.2231)^{0.26} \]

\[ \sigma \approx 620.5 \times 0.6187 \]

\[ \sigma \approx 383.78 \text{ MPa} \]

Next, calculate the cross-sectional area at the final height to find the load required:

Assuming volume constancy, the initial volume is equal to the final volume \(A_0 \cdot h_0 = A_f \cdot h_f\), where \(A_0\) is the initial area and \(A_f\) is the final area.

Initial area \(A_0\):

\[ A_0 = \frac{\pi}{4} \times d^2 = \frac{\pi}{4} \times 25^2 \approx 490.87 \text{ mm}^2 \]

The final area \(A_f\) can be calculated as:

\[ A_f = \frac{A_0 \cdot h_0}{h_f} = \frac{490.87 \times 62.5}{50} \]

\[ A_f \approx \frac{30679.375}{50} \]

\[ A_f \approx 613.59 \text{ mm}^2 \]

Finally, use the true stress to find the load:

\[ \text{Load} = \sigma \times A_f \]

\[ \text{Load} = 383.78 \times 613.59 \]

\[ \text{Load} \approx 235472.08 \text{ N} \]

So, the load required to compress the specimen to a height of 50 mm is approximately 235.47 kN.",3.0,3.18
"A metal alloy has been tested in a tensile test with the following results for the flow curve parameters: strength coefficient = 620.5 MPa and strain-hardening exponent = 0.26. The same metal is now tested in a compression test in which the starting height of the specimen = 62.5 mm and its diameter = 25 mm. Assuming that the cross section increases uniformly, determine the load required to compress the specimen to a height of  (b) 37.5 mm.","Solution: : Starting volume of test specimen V = pi*hDo^ 2/4 = 62.5pi(25)^2/4 = 30679.6 mm3.   (b) At h = 37.5 mm, H = ln(62.5/37.5) = ln(1.667) = 0.511 Yf = 620.5(0.511)^.26 = 521.1 MPa A = V/L = 30679.6 /37.5 = 818.1 mm2 F = 521.1(818.1) = 426,312 N","To determine the load required to compress the specimen to a given height, we can use the flow curve of the form:

\[ \sigma = K \epsilon^n \]

where:
- \( \sigma \) is the true stress,
- \( K \) is the strength coefficient (given as 620.5 MPa),
- \( \epsilon \) is the true strain,
- \( n \) is the strain-hardening exponent (given as 0.26).

First, calculate the initial volume of the cylinder:

\[ V_0 = \pi \left(\frac{d}{2}\right)^2 h_0 = \pi \left(\frac{25}{2}\right)^2 \times 62.5 \]
\[ V_0 = \pi \times 12.5^2 \times 62.5 \]

To find the final volume, note that the volume remains constant during plastic deformation (for a fully dense solid), so the initial volume \( V_0 \) is equal to the final volume \( V_f \).

Since volume is conserved:

\[ V_f = \pi \left(\frac{d_f}{2}\right)^2 h_f = V_0 \]

Given \( h_f = 37.5 \) mm, find \( d_f \):

\[ \pi \left(\frac{d_f}{2}\right)^2 \times 37.5 = \pi \times 12.5^2 \times 62.5 \]

Solve for \( d_f \):

\[ \left(\frac{d_f}{2}\right)^2 = \frac{12.5^2 \times 62.5}{37.5} \]
\[ d_f^2 = 4 \times \frac{12.5^2 \times 62.5}{37.5} \]

Calculate \( d_f \):

\[ d_f = 2 \times \sqrt{\frac{12.5^2 \times 62.5}{37.5}} \]

Now, calculate \( \epsilon \), the true strain in height:

\[ \epsilon = \ln \left(\frac{h_0}{h_f}\right) = \ln \left(\frac{62.5}{37.5}\right) \]

True stress \( \sigma \):

\[ \sigma = K \epsilon^n = 620.5 \times \left(\ln \left(\frac{62.5}{37.5}\right)\right)^{0.26} \]

Finally, find the load \( F \):

The current true stress is acting on the current cross-sectional area \( A_f \):

\[ A_f = \pi \left(\frac{d_f}{2}\right)^2 \]

Force \( F \) can be found:

\[ F = \sigma \times A_f \]

Substituting the known values, solve for the load \( F \).

This approach will provide the load required to compress the specimen to a height of 37.5 mm. It's crucial to ensure correct computation of the expressions leading to the final results.",3.0,3.18
"A steel test specimen (modulus of elasticity = 30 x 106 lb/in2) in a compression test has a starting height = 2.0 in and diameter = 1.5 in. The metal yields (0.2% offset) at a load = 140,000 lb. At a load of 260,000 lb, the height has been reduced to 1.6 in. Determine (a) yield strength.","Solution: (a) Starting volume of test specimen V = h*pi*D2/4 = 2(1.5)^2/4 = 3.534 in3. Ao = Do/4 = (1.5)^2/4 = 1.767 in2 Y = 140,000/1.767 = 79,224 lb/in2","To determine the yield strength of the steel specimen, we need to calculate the stress at which the material yields. Yield strength is typically determined using a 0.2% offset in the engineering stress-strain curve.

The formula for engineering stress (\(\sigma\)) is:

\[
\sigma = \frac{P}{A}
\]

where \(P\) is the load applied to the specimen, and \(A\) is the cross-sectional area.

First, calculate the original cross-sectional area (\(A\)) of the specimen:

\[
A = \frac{\pi d^2}{4} = \frac{\pi (1.5)^2}{4} = \frac{\pi \cdot 2.25}{4} \approx 1.767 \, \text{in}^2
\]

Given that the metal yields at a load (\(P\)) of 140,000 lb, substitute the values into the formula for stress:

\[
\sigma = \frac{140,000}{1.767} \approx 79,240 \, \text{psi}
\]

Therefore, the yield strength of the steel specimen is approximately 79,240 psi.",3.0,3.2
"A bend test is used for a certain hard material. If the transverse rupture strength of the material is known to be 1000 MPa, what is the anticipated load at which the specimen is likely to fail, given that its width = 15 mm, thickness = 10 mm, and length = 60 mm?","Solution: F = (TRS)(bt^2)/1.5L = 1000(15 x 10^2)/(1.5 x 60) = 16,667 N.","The transverse rupture strength (TRS) is used in bend tests to determine the load at which a material will fail. For a rectangular cross-section, the TRS is calculated using the formula:

\[
\sigma = \frac{3FL}{2bd^2}
\]

where:
- \(\sigma\) is the transverse rupture strength (1000 MPa),
- \(F\) is the load,
- \(L\) is the length of the support span (60 mm),
- \(b\) is the width of the specimen (15 mm),
- \(d\) is the thickness of the specimen (10 mm).

Rearranging the formula to solve for \(F\), we have:

\[
F = \frac{\sigma \cdot 2bd^2}{3L}
\]

Substituting in the given values:

\[
F = \frac{1000 \times 2 \times 15 \times 10^2}{3 \times 60}
\]

Calculating \(d^2\):

\[
d^2 = 10^2 = 100
\]

Now, substitute and solve for \(F\):

\[
F = \frac{1000 \times 2 \times 15 \times 100}{3 \times 60}
\]

\[
F = \frac{1000 \times 3000}{180}
\]

\[
F = \frac{3000000}{180}
\]

\[
F = 16666.67 \text{ N}
\]

Hence, the anticipated load at which the specimen is likely to fail is approximately \(16667 \, \text{N}\).",3.0,3.21
A special ceramic specimen is tested in a bend test. Its width = 0.50 in and thickness = 0.25 in. The length of the specimen between supports = 2.0 in. Determine the transverse rupture strength if failure occurs at a load = 1700 lb.,"Solution: TRS = 1.5FL/bt^2 = 1.5(1700)(2.0)/(0.5 x 0.25^2) = 163,200 lb/in2.","To determine the transverse rupture strength (also known as flexural strength) for the ceramic specimen in a bend test, we can use the formula for the flexural strength in a three-point bending test:

\[
\sigma_f = \frac{3PL}{2bd^2}
\]

where:
- \(\sigma_f\) is the transverse rupture strength,
- \(P\) is the load at fracture (1700 lb),
- \(L\) is the span length between the supports (2.0 in),
- \(b\) is the width of the specimen (0.50 in),
- \(d\) is the thickness of the specimen (0.25 in).

Substitute the given values into the formula:

\[
\sigma_f = \frac{3 \times 1700 \, \text{lb} \times 2.0 \, \text{in}}{2 \times 0.50 \, \text{in} \times (0.25 \, \text{in})^2}
\]

\[
\sigma_f = \frac{3 \times 1700 \times 2.0}{2 \times 0.50 \times 0.0625}
\]

\[
\sigma_f = \frac{10200}{0.0625}
\]

\[
\sigma_f = 163200 \, \text{psi}
\]

Therefore, the transverse rupture strength of the ceramic specimen is 163,200 psi.",3.0,3.22
"A torsion test specimen has a radius = 25 mm, wall thickness = 3 mm, and gage length = 50 mm. In testing, a torque of 900 N-m results in an angular deflection = 0.3. Determine (a) the shear stress, (b) shear strain","Solution: (a) W = T/(2R2t) = (900 x 1000)/(2pi(25)^2(3)) = 76.39 MPa. (b) J = RD/L, D = 0.3(2pi/360) = 0.005236 radians  J = 25(0.005236)/50 = 0.002618 ","To solve this problem, we will need to apply the formulas for shear stress and shear strain in a torsion test. We consider the specimen as a thin-walled tube since the wall thickness is much smaller than the radius.

### (a) Shear Stress

The formula for shear stress (\(\tau\)) in a thin-walled circular tube is given by:

\[
\tau = \frac{T \cdot c}{J}
\]

Where:
- \(T\) = applied torque = 900 N-m 
- \(c\) = mean radius = \(\frac{\text{outer radius + inner radius}}{2} = \frac{25 \, \text{mm} + (25 \, \text{mm} - 3 \, \text{mm})}{2} = \frac{47 \, \text{mm}}{2} = 23.5\, \text{mm} = 0.0235 \, \text{m}\)
- \(J\) = polar moment of inertia for a thin-walled tube = \(2 \pi c^2 t\), where \(t\) is the wall thickness = 3 mm = 0.003 m.

Calculating \(J\):

\[
J = 2 \pi (0.0235)^2 (0.003) = 2 \pi \times 0.00055225 \times 0.003
\]
\[
J = 0.0000104031 \, \text{m}^4
\]

Now, calculate \(\tau\):

\[
\tau = \frac{900 \times 0.0235}{0.0000104031}
\]
\[
\tau = \frac{21.15}{0.0000104031}
\]
\[
\tau \approx 2031858.32 \, \text{N/m}^2 = 2031.86 \, \text{kPa}
\]

### (b) Shear Strain

The formula for shear strain (\(\gamma\)) in a thin-walled tube is given by:

\[
\gamma = \frac{c \cdot \theta}{L}
\]

Where:
- \(c\) = mean radius = 0.0235 m
- \(\theta\) = angular deflection in radians = 0.3 radians
- \(L\) = gage length = 50 mm = 0.05 m

Calculating \(\gamma\):

\[
\gamma = \frac{0.0235 \times 0.3}{0.05}
\]
\[
\gamma = \frac{0.00705}{0.05}
\]
\[
\gamma = 0.141
\]

Therefore, the shear stress is approximately \(2031.86 \, \text{kPa}\), and the shear strain is \(0.141\).",3.0,3.23
"In a torsion test, a torque of 5000 ft-lb is applied which causes an angular deflection = 1q on a thin-walled tubular specimen whose radius = 1.5 in, wall thickness = 0.10 in, and gage length = 2.0 in. Determine (a) the shear stress, (b) shear strain","Solution: (a) W = T/(2piR2t) = (5000 x 12)/(2pi(1.5)^2(0.1)) = 42,441 lb/in2. (b) J = RD/L, D = 1(2pi/360) = 0.01745 rad., J = 1.5(0.01745)/2.0 = 0.01309  ","To solve for the shear stress and shear strain in a torsion test for a thin-walled tubular specimen, we can use the following equations:

### (a) Shear Stress
The shear stress (\(\tau\)) in a thin-walled tube can be found using the formula:

\[
\tau = \frac{T}{2 \pi r t}
\]

Where:
- \(T\) is the applied torque (5000 ft-lb),
- \(r\) is the mean radius (\(1.5 \, \text{in}\)),
- \(t\) is the wall thickness (\(0.10 \, \text{in}\)).

First, we need to convert the torque from ft-lb to in-lb because the radius and thickness are given in inches. Since 1 ft = 12 in, the torque in in-lb is:

\[
T = 5000 \, \text{ft-lb} \times 12 \, \text{in/ft} = 60000 \, \text{in-lb}
\]

Now, substitute \(T\), \(r\), and \(t\) into the shear stress formula:

\[
\tau = \frac{60000}{2 \pi \times 1.5 \times 0.10}
\]

\[
\tau = \frac{60000}{0.3 \pi}
\]

\[
\tau \approx \frac{60000}{0.9424778} \approx 63694.7 \text{ psi}
\]

### (b) Shear Strain
The shear strain (\(\gamma\)) can be calculated from the angular deflection (\(\theta\)) and the gauge length (\(L\)) using the formula:

\[
\gamma = \frac{\theta r}{L}
\]

In this problem, the angular deflection is given as \(1^\circ\). We need to convert this to radians because the formula requires it. Knowing that \(1^\circ = \frac{\pi}{180}\) radians:

\[
\theta = 1^{\circ} \times \frac{\pi}{180} \approx 0.0174533 \text{ radians}
\]

Now, substitute \(\theta\), \(r\), and \(L\) into the shear strain formula:

\[
\gamma = \frac{0.0174533 \times 1.5}{2.0}
\]

\[
\gamma = \frac{0.02617995}{2.0} \approx 0.0130899
\]

So, the shear strain is approximately \(0.0131\) or \(1.31\%\).

In conclusion:
- The shear stress is approximately \(63694.7 \, \text{psi}\).
- The shear strain is approximately \(0.0131\).",3.0,3.24
"In a Brinell hardness test, a 1500-kg load is pressed into a specimen using a 10-mm-diameter hardened steel ball. The resulting indentation has a diameter = 3.2 mm. (a) Determine the Brinell hardness number for the metal. (b) If the specimen is steel, estimate the tensile strength of the steel.","Solution: (a) HB = 2(1500)/(10pi(10 -(10^2 -3.2^2)^.5) = 3000/(10pi x 0.5258) = 182 BHN (b) The estimating formula is: TS = 500(HB). For a tested hardness of HB = 182, TS = 500(182) = 91,000 lb/in2.","To determine the Brinell hardness number (BHN), you can use the Brinell hardness formula:

\[ \text{BHN} = \frac{2P}{\pi D (D - \sqrt{D^2 - d^2})} \]

where:
- \( P \) is the applied load in kilograms-force (kgf),
- \( D \) is the diameter of the indenter in millimeters,
- \( d \) is the diameter of the indentation in millimeters.

Given:
- Applied load, \( P = 1500 \) kgf,
- Diameter of the ball, \( D = 10 \) mm,
- Diameter of the indentation, \( d = 3.2 \) mm.

Substituting these values into the formula:

\[ \text{BHN} = \frac{2 \times 1500}{\pi \times 10 \times (10 - \sqrt{10^2 - 3.2^2})} \]

First, calculate \( \sqrt{10^2 - 3.2^2} \):

\[ \sqrt{10^2 - 3.2^2} = \sqrt{100 - 10.24} = \sqrt{89.76} \approx 9.474 \]

Now, continue with the BHN calculation:

\[ \text{BHN} = \frac{3000}{\pi \times 10 \times (10 - 9.474)} \]

\[ \text{BHN} = \frac{3000}{\pi \times 10 \times 0.526} \]

\[ \text{BHN} = \frac{3000}{16.52} \]

\[ \text{BHN} \approx 181.6 \]

So, the Brinell hardness number is approximately 182.

(b) To estimate the tensile strength of steel based on the Brinell hardness number, you can use the empirical relationship:

\[ \text{Tensile strength (MPa)} \approx 3.5 \times \text{BHN} \]

Using the previously calculated BHN:

\[ \text{Tensile strength} \approx 3.5 \times 182 \]

\[ \text{Tensile strength} \approx 637 \text{ MPa} \]

Therefore, the estimated tensile strength of the steel is approximately 637 MPa.",3.0,3.25
"One of the inspectors in the quality control department has frequently used the Brinell and Rockwell hardness tests, for which equipment is available in the company. He claims that all hardness tests are based on the same principle as the Brinell test, which is that hardness is always measured as the applied load divided by the area of the impressions made by an indentor. (a) Is he correct? (b) If not, what are some of the other principles involved in hardness testing, and what are the associated tests?","Solution: (a) No, the claim is not correct. Not all hardness tests are based on the applied load divided by area, but many of them are. (b) Some of the other hardness tests and operating principles include: (1) Rockwell hardness test, which measures the depth of indentation of a cone resulting from an applied load; (2) Scleroscope, which measures the rebound height of a hammer dropped from a certain distance against a surface specimen; and (3) Durometer, which measures elastic deformation by pressing an indentor into the surface of rubber and similar soft materials.","(a) The inspector's claim is not entirely correct. While the Brinell hardness test measures hardness as the applied load divided by the area of the indentation, not all hardness tests follow this exact principle.

(b) Different hardness tests are based on various principles, which can include different methods of calculating or interpreting hardness values. Here are some examples:

1. **Rockwell Hardness Test**: This test measures the depth of penetration of an indenter under a specific load, rather than calculating hardness from the area of an indentation. The Rockwell hardness number is determined by the difference in depth between an initial, minor load and a major load. The principle here involves assessing penetration rather than direct area measurement.

2. **Vickers Hardness Test**: Similar to the Brinell test, the Vickers test also involves a calculation using the area of an indentation. However, it uses a diamond pyramid indenter, and the hardness number is derived from the indenter's diagonal lengths, which is different in shape and geometry from the Brinell test.

3. **Knoop Hardness Test**: The Knoop test is used for microhardness testing and measures the length of the long diagonal of the indentation made by a rhombic-shaped diamond indenter. The Knoop hardness number is calculated using this diagonal length, which can be appropriate for brittle materials or thin sheets.

4. **Shore Scleroscope Test**: This test measures the rebound height of a diamond-tipped hammer dropped from a fixed height onto the material surface. The Shore hardness is thus related to the material's elasticity rather than an indentation.

5. **Mohs Hardness Scale**: The Mohs scale is a qualitative scale characterizing scratch resistance of various minerals through the ability of a harder material to scratch a softer one. This approach is more comparative and not based on indentation.

These are just a few examples illustrating that there are various ways to assess hardness, each tailored for specific materials and applications, and not all depending on load and indentation area as with the Brinell test.",3.0,3.26
"A batch of annealed steel has just been received from the vendor. It is supposed to have a tensile strength in the range 60,000 -70,000 lb/in2. A Brinell hardness test in the receiving department yields a value of HB = 118. (a) Does the steel meet the specification on tensile strength?","Solution: (a) TS = 500(HB) = 500(118) = 59,000 lb/in2. This lies outside the specified range of 60,000 to 70,000 lb/in2. However, from a legal standpoint, it is unlikely that the batch can be rejected on the basis of its measured Brinell hardness number without using an actual tensile test to measure TS. The formula for converting from Brinell hardness number to tensile strength is only an approximating equation. ","To determine if the steel meets the specification on tensile strength based on the Brinell hardness test, we can use an empirical relationship between Brinell hardness (HB) and tensile strength (TS) for steel. A commonly used approximation is:

\[ TS \approx 500 \times HB \]

Using this formula, we can estimate the tensile strength:

\[ TS \approx 500 \times 118 = 59,000 \, \text{lb/in}^2 \]

The specified range for tensile strength is 60,000 to 70,000 lb/in². Based on this estimation, the tensile strength calculated from the Brinell hardness number is 59,000 lb/in², which is slightly below the lower limit of the specified range.

Therefore, the steel does not meet the specified tensile strength range according to the Brinell hardness test result.",3.0,3.27
"A batch of annealed steel has just been received from the vendor. It is supposed to have a tensile strength in the range 60,000 -70,000 lb/in2. A Brinell hardness test in the receiving department yields a value of HB = 118. (b) Estimate the yield strength of the material.","Solution:  (b) Based on Table 3.2 in the text, the ratio of Y to TS for low carbon steel = 25,000/45,000 =0.555. Using this ratio, we can estimate the yield strength to be Y = 0.555(59,000) = 32,700 lb/in2.","To estimate the yield strength of the annealed steel from its Brinell hardness number (HB), we can use empirical relationships that have been developed over time. One common relationship is the approximation:

\[ \sigma_y \approx \frac{HB}{3} \]

where \( \sigma_y \) is the yield strength in psi, and HB is the Brinell hardness number.

Given that the Brinell hardness test yielded a value of HB = 118, we can estimate the yield strength as follows:

\[ \sigma_y \approx \frac{118}{3} \]

\[ \sigma_y \approx 39.33 \text{ ksi} \]

So the estimated yield strength of the material is approximately 39,330 psi. Keep in mind that this is an estimate, and actual yield strength can vary based on the specific composition and processing of the steel.",3.0,3.27
"Two flat plates, separated by a space of 4 mm, are moving relative to each other at a velocity of 5 m/sec. The space between them is occupied by a fluid of unknown viscosity. The motion of the plates is resisted by a shear stress of 10 Pa due to the viscosity of the fluid. Assuming that the velocity gradient of the fluid is constant, determine the coefficient of viscosity of the fluid.",Solution: Shear rate = (5 m/s x 1000 mm/m)/(4 mm) = 1250 s-1 K = (10N/m2)/(1250 s-1) = 0.008 N-s/m2 = 0.008 Pa-s,"To determine the coefficient of viscosity of the fluid, you can use the relationship between shear stress, viscosity, and the velocity gradient for a Newtonian fluid. This is given by the formula:

\[
\tau = \mu \frac{du}{dy}
\]

where:
- \(\tau\) is the shear stress (10 Pa),
- \(\mu\) is the coefficient of viscosity,
- \(\frac{du}{dy}\) is the velocity gradient.

For two parallel plates in relative motion, the velocity gradient \(\frac{du}{dy}\) is the change in velocity divided by the distance between the plates. Here, the velocity difference \(\Delta u\) is 5 m/s, and the distance between the plates \(\Delta y\) is 4 mm (or 0.004 m). The velocity gradient is then:

\[
\frac{du}{dy} = \frac{\Delta u}{\Delta y} = \frac{5 \, \text{m/s}}{0.004 \, \text{m}} = 1250 \, \text{s}^{-1}
\]

Substitute \(\tau = 10 \, \text{Pa}\) and \(\frac{du}{dy} = 1250 \, \text{s}^{-1}\) into the formula to solve for \(\mu\):

\[
10 = \mu \times 1250
\]

\[
\mu = \frac{10}{1250} = 0.008 \, \text{Pa} \cdot \text{s}
\]

So, the coefficient of viscosity of the fluid is \(0.008 \, \text{Pa} \cdot \text{s}\).",3.0,3.28
"Two parallel surfaces, separated by a space of 0.5 in that is occupied by a fluid, are moving relative to each other at a velocity of 25 in/sec. The motion is resisted by a shear stress of 0.3 lb/in2 due to the viscosity of the fluid. If the velocity gradient in the space between the surfaces is constant, determine the viscosity of the fluid.",Solution: Shear rate = (25 in/sec)/(0.5 in) = 50 sec-1 K = (0.3 lb/in2)/(50 sec-1) = 0.0006 lb-sec/in2.,"To determine the viscosity of the fluid, you can use the relationship between shear stress (\(\tau\)), viscosity (\(\mu\)), and the velocity gradient (\(\frac{du}{dy}\)) in the fluid, given by Newton's law of viscosity:

\[
\tau = \mu \cdot \frac{du}{dy}
\]

where:
- \(\tau\) is the shear stress,
- \(\mu\) is the dynamic viscosity,
- \(\frac{du}{dy}\) is the velocity gradient perpendicular to the direction of shear.

In this problem:
- \(\tau = 0.3 \, \text{lb/in}^2\),
- The velocity difference (\(du\)) between the two surfaces is given as 25 in/sec,
- The distance between the surfaces (\(dy\)) is 0.5 in.

The velocity gradient \(\frac{du}{dy}\) is calculated as follows:

\[
\frac{du}{dy} = \frac{25 \, \text{in/sec}}{0.5 \, \text{in}} = 50 \, \text{sec}^{-1}
\]

Now, substituting the known values into the equation, we solve for \(\mu\):

\[
0.3 \, \text{lb/in}^2 = \mu \cdot 50 \, \text{sec}^{-1}
\]

\[
\mu = \frac{0.3 \, \text{lb/in}^2}{50 \, \text{sec}^{-1}}
\]

\[
\mu = 0.006 \, \text{lb-sec/in}^2
\]

Thus, the viscosity of the fluid is \(0.006 \, \text{lb-sec/in}^2\).",3.0,3.29
A 125.0-mm-diameter shaft rotates inside a stationary bushing whose inside diameter = 125.6 mm and length = 50.0 mm. In the clearance between the shaft and the bushing is a lubricating oil whose viscosity = 0.14 Pa-s. The shaft rotates at a velocity of 400 rev/min; this speed and the action of the oil are sufficient to keep the shaft centered inside the bushing. Determine the magnitude of the torque due to viscosity that acts to resist the rotation of the shaft.,Solution: Bushing internal bearing area A = (125.6)^2 x 50/4 = 19729.6 mm2 = 19729.2(10^-6) m2 d = (125.6 -125)/2 = 0.3 mm v = (125pi mm/rev)(400 rev/min)(1 min/60 sec) = 2618.0 mm/s Shear rate = 2618/0.3 = 8726.6 s-1     W = (0.14)(8726.6) = 1221.7 Pa = 1221.7 N/mm2 Force on surface between shaft and bushing = (1221.7 N/mm2)(19729.2(10^-6)) = 24.1 N Torque T = 24.1 N x 125/2 mm = 1506.4 N-mm = 1.506 N-m,"To determine the torque due to viscosity that acts to resist the rotation of the shaft, we can model the situation as a concentric cylindrical system where the shaft is rotating inside the bushing filled with lubricating oil. The torque \( T \) due to viscosity can be calculated using the formula for viscous torque in a cylindrical system:

\[
T = \frac{\pi \mu L N (D_o^2 - D_i^2)}{2d}
\]

where:
- \( \mu \) is the dynamic viscosity of the oil (0.14 Pa-s),
- \( L \) is the length of the bushing (0.050 m),
- \( N \) is the rotation rate in radians per second,
- \( D_o \) is the outside diameter of the bushing (0.1256 m),
- \( D_i \) is the diameter of the shaft (0.1250 m),
- \( d \) is the clearance between the shaft and bushing surfaces (\( d = \frac{D_o - D_i}{2} \)).

First, convert the rotational speed from revolutions per minute to radians per second:
\[
N = 400 \, \text{rev/min} \times \frac{2\pi \, \text{rad/rev}}{60 \, \text{s/min}} = \frac{400 \times 2\pi}{60} \, \text{rad/s} \approx 41.89 \, \text{rad/s}
\]

Calculate the clearance \( d \):
\[
d = \frac{D_o - D_i}{2} = \frac{0.1256 \, \text{m} - 0.1250 \, \text{m}}{2} = 0.0003 \, \text{m}
\]

Plug these values into the formula for the torque \( T \):
\[
T = \frac{\pi \times 0.14 \times 0.050 \times 41.89 \times (0.1256^2 - 0.1250^2)}{2 \times 0.0003}
\]

Calculate \( (D_o^2 - D_i^2) \):
\[
D_o^2 = 0.1256^2 = 0.01576336 \, \text{m}^2
\]
\[
D_i^2 = 0.1250^2 = 0.015625 \, \text{m}^2
\]
\[
D_o^2 - D_i^2 = 0.01576336 - 0.015625 = 0.00013836 \, \text{m}^2
\]

Now substitute these values into the torque formula:
\[
T = \frac{\pi \times 0.14 \times 0.050 \times 41.89 \times 0.00013836}{2 \times 0.0003}
\]

\[
T \approx \frac{3.14 \times 0.14 \times 0.050 \times 41.89 \times 0.00013836}{0.0006}
\]

\[
T \approx \frac{4.0744 \times 10^{-4}}{0.0006}
\]

\[
T \approx 0.678 \, \text{N-m}
\]

Therefore, the magnitude of the torque due to viscosity that acts to resist the rotation of the shaft is approximately 0.678 N-m.",3.0,3.3
"The starting diameter of a shaft is 25.00 mm. This shaft is to be inserted into a hole in an expansion fit assembly operation. To be readily inserted, the shaft must be reduced in diameter by cooling. Determine the temperature to which the shaft must be reduced from room temperature (20C) in order to reduce its diameter to 24.98 mm. Refer to Table 4.1.","Solution: For steel, a = 12(10^-6) mm/mm/C according to Table 4.1. Revise Eq. (4.1) to D2-D1= aD1(T2-T1). 24.98 -25.00 = 12(10^-6)(25.00)(T2 -20) -0.02 = 300(10^-6)(T2 -20) -0.02 = 0.0003(T2 -20) = 0.0003T2 -0.006 -.02 + 0.006 = 0.0003T2 -0.014 = 0.0003T2                             T2= -46.67C","To determine the temperature to which the shaft must be cooled to achieve the desired diameter reduction, we can use the formula for linear thermal contraction, which is given by:

\[
\Delta L = \alpha \cdot L_0 \cdot \Delta T
\]

where:
- \(\Delta L\) is the change in length (or diameter in this case),
- \(\alpha\) is the linear coefficient of thermal expansion,
- \(L_0\) is the initial length (or diameter),
- \(\Delta T\) is the change in temperature.

Given:
- Initial diameter (\(L_0\)) = 25.00 mm
- Final diameter = 24.98 mm
- Required change in diameter (\(\Delta L\)) = 25.00 mm - 24.98 mm = 0.02 mm

From these values, you'll need the linear coefficient of thermal expansion (\(\alpha\)) for the material of the shaft to complete the calculation. This value is typically found in a material properties table, sometimes referred to as Table 4.1 in textbooks or handbooks. Assuming you have this value (\(\alpha\) is often provided in units of \(\text{mm/mm°C}\) or similar), you can proceed.

Rearranging the formula to solve for \(\Delta T\):

\[
\Delta T = \frac{\Delta L}{\alpha \cdot L_0}
\]

Let's assume \(\alpha\) has been provided or found in Table 4.1. Substitute the known values into the equation:

1. Plug in \(\Delta L = 0.02 \, \text{mm}\),
2. Use the actual value for \(\alpha\) from Table 4.1,
3. \(L_0 = 25.00 \, \text{mm}\).

Once you calculate \(\Delta T\), you determine the final temperature (\(T_f\)) by subtracting \(\Delta T\) from the initial (room) temperature:

\[
T_f = 20°C - \Delta T
\]

Finally, this will give you the temperature to which the shaft must be cooled to fit into the hole successfully. If you provide the value of \(\alpha\), I can perform the calculation for you.",4.0,4.1
