chapter,question_number,Question,Answer,question_length,answer_length
3,3.18,"A metal alloy has been tested in a tensile test with the following results for the flow curve parameters: strength coefficient = 620.5 MPa and strain-hardening exponent = 0.26. The same metal is now tested in a compression test in which the starting height of the specimen = 62.5 mm and its diameter = 25 mm. Assuming that the cross section increases uniformly, determine the load required to compress the specimen to a height of (a) 50 mm ","Solution: Starting volume of test specimen V = pi*hDo^ 2/4 = 62.5pi(25)^2/4 = 30679.6 mm3. (a) At h = 50 mm, H = ln(62.5/50) = ln(1.25) = 0.223 Yf = 620.5(.223)^.26 = 420.1 MPa A = V/L = 30679.6/50 = 613.6 mm2 F = 420.1(613.6) = 257,770 N  ",,
3,3.18,"A metal alloy has been tested in a tensile test with the following results for the flow curve parameters: strength coefficient = 620.5 MPa and strain-hardening exponent = 0.26. The same metal is now tested in a compression test in which the starting height of the specimen = 62.5 mm and its diameter = 25 mm. Assuming that the cross section increases uniformly, determine the load required to compress the specimen to a height of  (b) 37.5 mm.","Solution: : Starting volume of test specimen V = pi*hDo^ 2/4 = 62.5pi(25)^2/4 = 30679.6 mm3.   (b) At h = 37.5 mm, H = ln(62.5/37.5) = ln(1.667) = 0.511 Yf = 620.5(0.511)^.26 = 521.1 MPa A = V/L = 30679.6 /37.5 = 818.1 mm2 F = 521.1(818.1) = 426,312 N",461,387
3,3.2,"A steel test specimen (modulus of elasticity = 30 x 106 lb/in2) in a compression test has a starting height = 2.0 in and diameter = 1.5 in. The metal yields (0.2% offset) at a load = 140,000 lb. At a load of 260,000 lb, the height has been reduced to 1.6 in. Determine (a) yield strength.","Solution: (a) Starting volume of test specimen V = h*pi*D2/4 = 2(1.5)^2/4 = 3.534 in3. Ao = Do/4 = (1.5)^2/4 = 1.767 in2 Y = 140,000/1.767 = 79,224 lb/in2",450,866
3,3.21,"A bend test is used for a certain hard material. If the transverse rupture strength of the material is known to be 1000 MPa, what is the anticipated load at which the specimen is likely to fail, given that its width = 15 mm, thickness = 10 mm, and length = 60 mm?","Solution: F = (TRS)(bt^2)/1.5L = 1000(15 x 10^2)/(1.5 x 60) = 16,667 N.",268,69
3,3.22,A special ceramic specimen is tested in a bend test. Its width = 0.50 in and thickness = 0.25 in. The length of the specimen between supports = 2.0 in. Determine the transverse rupture strength if failure occurs at a load = 1700 lb.,"Solution: TRS = 1.5FL/bt^2 = 1.5(1700)(2.0)/(0.5 x 0.25^2) = 163,200 lb/in2.",237,74
3,3.23,"A torsion test specimen has a radius = 25 mm, wall thickness = 3 mm, and gage length = 50 mm. In testing, a torque of 900 N-m results in an angular deflection = 0.3. Determine (a) the shear stress, (b) shear strain","Solution: (a) W = T/(2R2t) = (900 x 1000)/(2pi(25)^2(3)) = 76.39 MPa. (b) J = RD/L, D = 0.3(2pi/360) = 0.005236 radians  J = 25(0.005236)/50 = 0.002618 ",433,662
3,3.24,"In a torsion test, a torque of 5000 ft-lb is applied which causes an angular deflection = 1q on a thin-walled tubular specimen whose radius = 1.5 in, wall thickness = 0.10 in, and gage length = 2.0 in. Determine (a) the shear stress, (b) shear strain","Solution: (a) W = T/(2piR2t) = (5000 x 12)/(2pi(1.5)^2(0.1)) = 42,441 lb/in2. (b) J = RD/L, D = 1(2pi/360) = 0.01745 rad., J = 1.5(0.01745)/2.0 = 0.01309  ",448,266
3,3.25,"In a Brinell hardness test, a 1500-kg load is pressed into a specimen using a 10-mm-diameter hardened steel ball. The resulting indentation has a diameter = 3.2 mm. (a) Determine the Brinell hardness number for the metal. (b) If the specimen is steel, estimate the tensile strength of the steel.","Solution: (a) HB = 2(1500)/(10pi(10 -(10^2 -3.2^2)^.5) = 3000/(10pi x 0.5258) = 182 BHN (b) The estimating formula is: TS = 500(HB). For a tested hardness of HB = 182, TS = 500(182) = 91,000 lb/in2.",300,192
3,3.26,"One of the inspectors in the quality control department has frequently used the Brinell and Rockwell hardness tests, for which equipment is available in the company. He claims that all hardness tests are based on the same principle as the Brinell test, which is that hardness is always measured as the applied load divided by the area of the impressions made by an indentor. (a) Is he correct? (b) If not, what are some of the other principles involved in hardness testing, and what are the associated tests?","Solution: (a) No, the claim is not correct. Not all hardness tests are based on the applied load divided by area, but many of them are. (b) Some of the other hardness tests and operating principles include: (1) Rockwell hardness test, which measures the depth of indentation of a cone resulting from an applied load; (2) Scleroscope, which measures the rebound height of a hammer dropped from a certain distance against a surface specimen; and (3) Durometer, which measures elastic deformation by pressing an indentor into the surface of rubber and similar soft materials.",513,572
3,3.27,"A batch of annealed steel has just been received from the vendor. It is supposed to have a tensile strength in the range 60,000 -70,000 lb/in2. A Brinell hardness test in the receiving department yields a value of HB = 118. (a) Does the steel meet the specification on tensile strength?","Solution: (a) TS = 500(HB) = 500(118) = 59,000 lb/in2. This lies outside the specified range of 60,000 to 70,000 lb/in2. However, from a legal standpoint, it is unlikely that the batch can be rejected on the basis of its measured Brinell hardness number without using an actual tensile test to measure TS. The formula for converting from Brinell hardness number to tensile strength is only an approximating equation. ",340,546
3,3.27,"A batch of annealed steel has just been received from the vendor. It is supposed to have a tensile strength in the range 60,000 -70,000 lb/in2. A Brinell hardness test in the receiving department yields a value of HB = 118. (b) Estimate the yield strength of the material.","Solution:  (b) Based on Table 3.2 in the text, the ratio of Y to TS for low carbon steel = 25,000/45,000 =0.555. Using this ratio, we can estimate the yield strength to be Y = 0.555(59,000) = 32,700 lb/in2.",340,546
3,3.28,"Two flat plates, separated by a space of 4 mm, are moving relative to each other at a velocity of 5 m/sec. The space between them is occupied by a fluid of unknown viscosity. The motion of the plates is resisted by a shear stress of 10 Pa due to the viscosity of the fluid. Assuming that the velocity gradient of the fluid is constant, determine the coefficient of viscosity of the fluid.",Solution: Shear rate = (5 m/s x 1000 mm/m)/(4 mm) = 1250 s-1 K = (10N/m2)/(1250 s-1) = 0.008 N-s/m2 = 0.008 Pa-s,393,112
3,3.29,"Two parallel surfaces, separated by a space of 0.5 in that is occupied by a fluid, are moving relative to each other at a velocity of 25 in/sec. The motion is resisted by a shear stress of 0.3 lb/in2 due to the viscosity of the fluid. If the velocity gradient in the space between the surfaces is constant, determine the viscosity of the fluid.",Solution: Shear rate = (25 in/sec)/(0.5 in) = 50 sec-1 K = (0.3 lb/in2)/(50 sec-1) = 0.0006 lb-sec/in2.,349,103
3,3.3,A 125.0-mm-diameter shaft rotates inside a stationary bushing whose inside diameter = 125.6 mm and length = 50.0 mm. In the clearance between the shaft and the bushing is a lubricating oil whose viscosity = 0.14 Pa-s. The shaft rotates at a velocity of 400 rev/min; this speed and the action of the oil are sufficient to keep the shaft centered inside the bushing. Determine the magnitude of the torque due to viscosity that acts to resist the rotation of the shaft.,Solution: Bushing internal bearing area A = (125.6)^2 x 50/4 = 19729.6 mm2 = 19729.2(10^-6) m2 d = (125.6 -125)/2 = 0.3 mm v = (125pi mm/rev)(400 rev/min)(1 min/60 sec) = 2618.0 mm/s Shear rate = 2618/0.3 = 8726.6 s-1     W = (0.14)(8726.6) = 1221.7 Pa = 1221.7 N/mm2 Force on surface between shaft and bushing = (1221.7 N/mm2)(19729.2(10^-6)) = 24.1 N Torque T = 24.1 N x 125/2 mm = 1506.4 N-mm = 1.506 N-m,471,399
4,4.1,"The starting diameter of a shaft is 25.00 mm. This shaft is to be inserted into a hole in an expansion fit assembly operation. To be readily inserted, the shaft must be reduced in diameter by cooling. Determine the temperature to which the shaft must be reduced from room temperature (20C) in order to reduce its diameter to 24.98 mm. Refer to Table 4.1.","Solution: For steel, a = 12(10^-6) mm/mm/C according to Table 4.1. Revise Eq. (4.1) to D2-D1= aD1(T2-T1). 24.98 -25.00 = 12(10^-6)(25.00)(T2 -20) -0.02 = 300(10^-6)(T2 -20) -0.02 = 0.0003(T2 -20) = 0.0003T2 -0.006 -.02 + 0.006 = 0.0003T2 -0.014 = 0.0003T2                             T2= -46.67C",359,263
4,4.3,"Aluminum has a density of 2.70 g/cm3 at room temperature (20C). Determine its density at 650C, using data in Table 4.1 as a reference.","Solution: Assume a 1 cm3 cube, 1 cm on each side. From Table 4.1, a = 24(10^-6) mm/mm/C L2-L1=a L1(T2-T2). L2 = 1.0 + 24(10^-6)(1.0)(650 -20) = 1.01512 cm (L2 )^3 = (1.01512)^3 = 1.04605 cm3 Assume weight remains the same; thus U at 650C = 2.70/1.04605 = 2.581 g/cm3",139,261
4,4.4,"With reference to Table 4.1, determine the increase in length of a steel bar whose length = 10.0 in, if the bar is heated from room temperature of 70F to 500F.",Solution: Increase = (6.7 x 10^-6 in/in/F)(10.0 in)(500F -70F) = 0.0288 in.,164,74
4,4.5," With reference to Table 4.2, determine the quantity of heat required to increase the temperature of an 
aluminum block that is 10 cm x 10 cm x 10 cm from room temperature (21C) to 300C. ","Solution. Heat = (0.21 cal/g C)(103 cm3
)(2.70 g/cm3
)(300qC - 21C) = 158,193 cal.
Conversion: 1.0 cal = 4.184J, so heat = 662,196 J.",,
4,4.6,What is the resistance R of a length of copper wire whose length = 10 m and whose diameter = 0.10 mm? Use Table 4.3 as a reference.,"Solution: R = rL/A, A = pi(0.1)^2/4 = 0.007854 mm2 = 0.007854(10^-6) m2 From Table 4.3, r = 1.7 x 10^-8 -m2/m  R = (1.7 x 10^-8  ohm-m2/m)(10 m)/( 0.007854(10^-6) m2) = 2164.5(10^-2) : = 21.65 ohm",136,605
4,4.7,"A 16 gage nickel wire (0.0508-in diameter) connects a solenoid to a control circuit that is 32.8 ft away. (a) What is the resistance of the wire? Use Table 4.3 as a reference. (b) If a current was passed through the wire, it would heat up. How does this affect the resistance?","Solution: (a) L = 32.8 ft = 393.6 in Area A = pi(0.0508)^2/4 = 0.00203 in2 R = r (L/A) = 6.8 x 10^-8 (39.4)(393.6/0.00203) = 0.520 ohm (b) If a current is passed through the wire causing the wire to heat up, the resistivity of the wire would change. Since nickel is a metal, the resistivity would increase, causing the resistance to increase. This, in turn, would cause slightly more heat to be generated.",281,401
4,4.8,"Aluminum wiring was used in many homes in the 1960s due to the high cost of copper at the time. Aluminum wire that was 12 gauge (a measure of cross-sectional area) was rated at 15 A of current. If copper wire of the same gauge were used to replace the aluminum wire, what current should the wire be capable of carrying if all factors except resistivity are considered equal? Assume that the resistance of the wire is the primary factor that determines the current it can carry and the cross-sectional area and length are the same for the aluminum and copper wires.","Solution: The area and length are constant between the types of wires. The overall change in resistance is due to the change in resistivity of the materials. From Table 4.3: For Aluminum r = 2.8 x 10^-8 For Copper r = 1.7 x 10^-8 The resistance will reduce by 1.7x10^-8/2.8x10^-8 = 0.61 Since I = E/R and Rcu=0.61(Ral), then Icu = 1/0.61*Ial = 15/0.61= 25 A Note that the code value is actually 20 A due to several factors including heat dissipation and rounding down to the nearest 5 amp value.",569,904
5,5.1,Design the nominal sizes of a GO/NO-GO plug gage to inspect a 1.500 � 0.030 in diameter hole. There is a wear allowance applied only to the GO side of the gage. The wear allowance is 2% of the entire tolerance band for the inspected feature. Determine (a) the nominal size of the GO gage including the wear allowance ,"Solution: (a) The tolerance band is 0.060 in. Wear allowance = 0.02(0.060) = 0.0012 in. GO gage will inspect the minimum hole diameter = 1.500  -  0.030 = 1.470 in. As the gage wears, the dimension will decrease and allow unacceptable parts, so the wear allowance is added to it. Nominal GO Size = 1.470 + 0.0012 = 1.4712 in",365,491
5,5.1,Design the nominal sizes of a GO/NO-GO plug gage to inspect a 1.500 � 0.030 in diameter hole. There is a wear allowance applied only to the GO side of the gage. The wear allowance is 2% of the entire tolerance band for the inspected feature. Determine  (b) the nominal size of the NO-GO gage.,Solution:  (b) NO-GO gage will inspect the maximum hole diameter = 1.500 + 0.030 = 1.530 in. No wear allowance is added because this gage should not fit in the hole and wear away.,365,491
,5.2,"Design the nominal sizes of a GO/NO-GO snap gage to inspect the diameter of a shaft that is 
1.500 � 0.030. A wear allowance of 2% of the entire tolerance band is applied to the GO side. 
Determine (a) the nominal size of the GO gage including the wear allowance.","Solution: (a) The tolerance band is 0.060 in. Wear allowance = 0.02(0.060) = 0.0012 in.
GO gage will inspect the maximum shaft diameter = 1.500 + 0.030 = 1.530 in.
As the gage wears, the dimension will increase allowing unacceptable parts, so the wear 
allowance is subtracted from it.
Nominal GO Size = 1.530 � 0.0012 = 1.5288 in",,
,5.2,"Design the nominal sizes of a GO/NO-GO snap gage to inspect the diameter of a shaft that is 
1.500 � 0.030. A wear allowance of 2% of the entire tolerance band is applied to the GO side. 
Determine(b) the nominal 
size of the NO-GO gage.","Solution:(b) NO-GO gage will inspect the minimum shaft diameter = 1.500 � 0.030 = 1.470 in.
No wear allowance is added because this gage should not fit in the hole and wear away",,
5,5.3,Design the nominal sizes of a GO/NO-GO plug gage to inspect a 30.00 � 0.18 mm diameter hole. There is a wear allowance applied only to the GO side of the gage. The wear allowance is 3% of the entire tolerance band for the inspected feature. Determine (a) the nominal size of the GO gage including the wear allowance.,"Solution: (a) The tolerance band is 0.36 mm. Wear allowance = 0.03(0.36) = 0.0108 mm GO gage will inspect the minimum hole diameter = 30.00  -  0.18 = 29.82 mm As the gage wears, the dimension will decrease and allow unacceptable parts, so the wear allowance is added to it Nominal GO Size = 29.82 + 0.0108 = 29.8308 mm ",364,485
5,5.3,Design the nominal sizes of a GO/NO-GO plug gage to inspect a 30.00 � 0.18 mm diameter hole. There is a wear allowance applied only to the GO side of the gage. The wear allowance is 3% of the entire tolerance band for the inspected feature. Determine(b) the nominal size of the NO-GO gage.,Solution: (b) NO-GO gage will inspect the maximum hole diameter = 30.00 + 0.18 = 30.18 mm. No wear allowance is added because this gage should not fit in the hole and wear away.,364,485
5,5.4,"Design the nominal sizes of a GO/NO-GO snap gage to inspect the diameter of a shaft that is 
30.00 � 0.18 mm. A wear allowance of 3% of the entire tolerance band is applied to the GO side. 
Determine (a) the nominal size of the GO gage including the wear allowance.","Solution: (a) The tolerance band is 0.36 mm. Wear allowance = 0.03(0.36) = 0.0108 mm
GO gage will inspect the maximum shaft diameter = 30.00 + 0.18 = 30.18 mm
As the gage wears, the dimension will increase allowing unacceptable parts, so the wear 
allowance is subtracted from it.
Nominal GO Size = 30.18 � 0.0108 = 30.1692 mm
",,
5,5.4,"Design the nominal sizes of a GO/NO-GO snap gage to inspect the diameter of a shaft that is 
30.00 � 0.18 mm. A wear allowance of 3% of the entire tolerance band is applied to the GO side. 
Determine  (b) the nominal 
size of the NO-GO gage.","Solution:(b) NO-GO gage will inspect the minimum shaft diameter = 30.00 � 0.18 = 29.82 mm.
No wear allowance is added because this gage should not fit in the hole and wear away.",,
5,5.5,"A sine bar is used to determine the angle of a part feature. The length of the sine bar is 6.000 in. The rolls have a diameter of 1.000 in. All inspection is performed on a surface plate. In order for the sine bar to match the angle of the part, the following gage blocks must be stacked: 2.0000, 0.5000, 0.3550. Determine the angle of the part feature.",Solution: H = 2.0000+0.5000 + 0.3550 = 2.8550 in      A = sin^(-1) (H/L) = sin^(-1)(2.8550/6.000 ) = sin^(-1) ( 0.4758 ) = 28.41�,358,116
5,5.6,"A 200.00 mm sine bar is used to inspect an angle on a part. The angle has a dimension of 35.0 � 
1.8�. The sine bar rolls have a diameter of 30.0 mm. A set of gage blocks is available that can 
form any height from 10.0000 to 199.9975 mm in increments of 0.0025 mm. Determine (a) the 
height of the gage block stack to inspect the minimum angle, (b) height of the gage block stack to 
inspect the maximum angle.  All inspection is performed on a surface plate.","Solution: (a) sin A = (H/L); H = L sin A = 200.00 Sin (35.0-1.8) 
= 200.00 sin 33.2 = 109.51264 = 109.5150 mm (must round up to insure angle is in 
tolerance.
(b) H = L sin A = 200.00 sin (35.0 + 1.8) = 200.00 sin (36.8) = 119.80472 = 119.8025 mm
(must round down to insure angle within dimensions)",,
6,6.2,"For the preceding problem, use the inverse lever rule to determine the proportions of liquid and solid phases present in the alloy.","Solution: From Fig 6.2, measured values of CL and CS are: CL = 5 mm, CS = 12 mm. Liquid phase proportion = 12/(12 + 5) = 12/17 = 0.71 Solid phase proportion = 5/17 = 0.29",136,170
6,6.3,"Using the lead-tin phase diagram in Figure 6.3, determine the liquid and solid phase compositions for a nominal composition of 40% Sn and 60% Pb at 204�C (400�F).","Solution: From Fig 6.3, the compositions are observed as follows: Liquid phase composition = 56% Sn -44% Pb. D phase composition = 18% Sn -82% Pb.",165,146
6,6.4,"For the preceding problem, use the inverse lever rule to determine the proportions of liquid and solid phases present in the alloy.","Solution: From Fig 6.3, measured values of CL and CS are: CL = 10.5 mm, CS = 15 mm. Liquid phase proportion = 15/(15 + 10.5) = 15/25.5 = 0.59 D phase proportion = 10.5/25.5 = 0.41",136,179
6,6.5,"Using the lead-tin phase diagram in Figure 6.3, determine the liquid and solid phase compositions for a nominal composition of 90% Sn and 10% Pb at 204�C (400�F).","Solution: From Fig 6.3, the compositions are observed as follows: Liquid phase composition = 78% Sn -22% Pb. E phase composition = 98% Sn -2% Pb.",165,145
6,6.6,"For the preceding problem, use the inverse lever rule to determine the proportions of liquid and solid phases present in the alloy.","Solution: From Fig 6.3, measured values of CL and CS are: CL = 7.8 mm, CS = 4.2 mm. Liquid phase proportion = 4.2/(13) = 0.32 D phase proportion = 7.8/13 = 0.68",136,160
6,6.7,"In the iron-iron carbide phase diagram of Figure 6.4, identify the phase or phases present at the following temperatures and nominal compositions: (a) 650C (1200�F) and 2% Fe3C, (b) 760C (1400�F) and 2% Fe3C, and (c) 1095C (2000�F) and 1% Fe3C.","Solution: (a) Alpha + iron carbide, (b) gamma + iron carbide, and (c) gamma. ",246,489
9,9.3,A composite sample of carbon reinforced epoxy has dimensions of 12 in by 12 in by 0.25 in and mass of 1.8 lb. The carbon fibers have a modulus of elasticity of 50(106) lb/in2 and a density of 0.069 lb/in3. The epoxy matrix has modulus of elasticity of 0.61(106) lb/in2 and a density of 0.042 lb/in3. What is the volume fraction of (a) the carbon fibers and (b) the epoxy matrix in the sample? Assume there are no voids in the sample.,Solution: Vc = 12(12)(0.25) = 36 in3 c = mc/Vc = 1.8/36 = 0.050 lb/in3 (a) fm = 1 -  fr c = fmm + frr c = (1-fr)m + frr c = m -frm + frr = m -fr(m -r) fr = (m -c)/(m -r) = (0.042  -  0.050)/(0.042  -  0.069) = 0.30 = 30%  (b) fm =1  -  fr fm = 1-0.30 = 0.70 = 70%,438,255
9,9.5," A composite has a matrix of polyester with Kevlar-29 fibers. The volume fractions of polyester and 
Kevlar are 60% and 40%, respectively. The Kevlar fibers have a modulus of elasticity of 60 GPa in 
the longitudinal direction and 3 GPa in the transverse direction. The polyester matrix has a 
modulus of elasticity of 5.6 GPa in both directions. (a) Determine the modulus of elasticity for the 
composite in the longitudinal direction.","Solution: fm = 0.60, fr = 0.40, Em = 5.6 GPa, and Er = 60 GPa
(a) Ec = fmEm + frEr Ec = 0.60(5.6) + 0.40(60) = 27.4 GPa",,
9,9.5,"A composite has a matrix of polyester with Kevlar-29 fibers. The volume fractions of polyester and 
Kevlar are 60% and 40%, respectively. The Kevlar fibers have a modulus of elasticity of 60 GPa in 
the longitudinal direction and 3 GPa in the transverse direction. The polyester matrix has a 
modulus of elasticity of 5.6 GPa in both directions.  (b) Determine the modulus of elasticity in the transverse 
direction","Solution: fm = 0.60, fr = 0.40, Em = 5.6 GPa, and Er = 60 GPa
(b) Ec� = EmEr/(fmEr + frEm) Ec� = 5.6(60)/(0.60(60) + 0.40(5.6)) = 8.79 Gpa",,
10,10.2,"A sufficient amount of pure copper is to be heated for casting a large plate in an open mold. The plate has dimensions: length = 20 in, width = 10 in, and thickness = 3 in. Compute the amount of heat that must be added to the metal to heat it to a temperature of 2150F for pouring. Assume that the amount of metal heated will be 10% more than what is needed to fill the mold cavity. Properties of the metal are: density = 0.324 lbm/in3, melting point = 1981F, specific heat of the metal = 0.093 Btu/lbm-F in the solid state and 0.090 Btu/lbm-F in the liquid state, and heat of fusion = 80 Btu/lbm.","Solution: Volume V = (20 x 10 x 3)(1 + 10%) = 600(1.1) = 660.0 in3 Assuming To = 75 F and using Eq. (10.1), H = 0.324 x 660{0.093(1981 -75) + 80 + 0.090(2150 -1981)} = 213.84{177.26 + 80 + 15.21} H = 58,265 Btu",603,210
10,10.3,"The downsprue leading into the runner of a certain mold has a length = 175 mm. The cross-sectional area at the base of the sprue is 400 mm2. The mold cavity has a volume = 0.001 m3. Determine (a) the velocity of the molten metal flowing through the base of the downsprue, (b) the volume rate of flow, and (c) the time required to fill the mold cavity.","Solution: (a) Velocity v = (2 x 9815 x 175)0.5 = (3,435,096)0.5 = 1853 mm/s (b) Volume flow rate Q = vA = 1853 x 400 = 741,200 mm3/s  (c) Time to fill cavity TMF = V/Q = 1,000,000/741,200 = 1.35 s",357,196
10,10.4,"A mold has a downsprue of length = 6.0 in. The cross-sectional area at the bottom of the sprue is 0.5 in2. The sprue leads into a horizontal runner which feeds the mold cavity, whose volume = 75 in3. Determine (a) the velocity of the molten metal flowing through the base of the downsprue, (b) the volume rate of flow, and (c) the time required to fill the mold cavity.",Solution: (a) Velocity v = (2 x 32.2 x 12 x 6.0)^0.5 = (4636.8)^0.5 = 68.1 in/sec (b) Volume flow rate Q = vA = 68.1 x 0.5 = 34.05 in3/sec  (c) Time to fill cavity TMF = V/Q = 75.0/34.05 = 2.2 sec.,375,195
10,10.5,"The flow rate of liquid metal into the downsprue of a mold = 1 liter/sec. The cross-sectional area at the top of the sprue = 800 mm2, and its length = 175 mm. What area should be used at the base of the sprue to avoid aspiration of the molten metal?","Solution: Flow rate Q = 1.0 l/s = 1,000,000 mm3/s Velocity v = (2 x 9815 x 175)0.5 = 1854 mm/s Area at base A = 1,000,000/1854 = 540 mm2",255,136
10,10.6,"The volume rate of flow of molten metal into the downsprue from the pouring cup is 50 in3/sec. At the top where the pouring cup leads into the downsprue, the cross-sectional area = 1.0 in2. Determine what the area should be at the bottom of the sprue if its length = 8.0 in. It is desired to maintain a constant flow rate, top and bottom, in order to avoid aspiration of the liquid metal.","Solution: Velocity at base v = (2gh)^0.5 = (2 x 32.2 x 12 x 8)^0.5 = 78.6 in/sec Assuming volumetric continuity, area at base A = (50 in/sec)/(78.6 in/sec) = 0.636 in2",394,165
